################################################################################################################################################
# ANALYSIS PARAMETERS
# ===================
# analysis at: 2016-10-05 17:12:30
#     dataset: AZI
# ref ms file: /ida/cal/raw/kapi/APSurvey/2016-0905/STN01_centaur-3_0829_20160905_005452.seed
#  start time: 2016-09-05T13:20:20.000000Z
#    end time: 2016-09-05T21:00:00.000000Z
#    seg size: 1024 secs
#    seg trim: 128 secs
#  coh cutoff: 0.98
# analysis sr: 5 hz
# analysis bp: [0.1, 0.3] hz
#     station: KAPI
#  pri sensor: True
#   pri chans: bhz,bh1,bh2
#     pri loc: 00
#  sec sensor: True
#   sec chans: bhz,bh1,bh2
#     sec loc: 10
#
KAPI REF/PRI Z: 2016-09-05T13:20:20.050000Z (1473081620.050000) amp: 1.0161; ang:   0.000; lrms: 1.423; var: 0.083; coh: 0.9966 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T13:37:24.050000Z (1473082644.050000) amp: 1.0102; ang:   0.000; lrms: 1.461; var: 0.082; coh: 0.9966 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T13:54:28.050000Z (1473083668.050000) amp: 1.0088; ang:   0.000; lrms: 1.461; var: 0.076; coh: 0.9971 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T14:11:32.050000Z (1473084692.050000) amp: 1.0116; ang:   0.000; lrms: 1.436; var: 0.081; coh: 0.9967 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T14:28:36.050000Z (1473085716.050000) amp: 1.0144; ang:   0.000; lrms: 1.433; var: 0.082; coh: 0.9966 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T14:45:40.050000Z (1473086740.050000) amp: 1.0137; ang:   0.000; lrms: 1.482; var: 0.075; coh: 0.9972 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T15:02:44.050000Z (1473087764.050000) amp: 1.0148; ang:   0.000; lrms: 1.427; var: 0.074; coh: 0.9973 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T15:19:48.050000Z (1473088788.050000) amp: 1.0096; ang:   0.000; lrms: 1.693; var: 0.091; coh: 0.9959 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T15:36:52.050000Z (1473089812.050000) amp: 1.0160; ang:   0.000; lrms: 1.409; var: 0.084; coh: 0.9965 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T15:53:56.050000Z (1473090836.050000) amp: 1.0069; ang:   0.000; lrms: 1.462; var: 0.076; coh: 0.9971 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T16:11:00.050000Z (1473091860.050000) amp: 1.0094; ang:   0.000; lrms: 1.449; var: 0.073; coh: 0.9973 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T16:28:04.050000Z (1473092884.050000) amp: 1.0117; ang:   0.000; lrms: 1.504; var: 0.074; coh: 0.9972 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T16:45:08.050000Z (1473093908.050000) amp: 1.0082; ang:   0.000; lrms: 1.405; var: 0.078; coh: 0.9970 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T17:02:12.050000Z (1473094932.050000) amp: 1.0117; ang:   0.000; lrms: 1.478; var: 0.074; coh: 0.9973 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T17:19:16.050000Z (1473095956.050000) amp: 1.0100; ang:   0.000; lrms: 1.338; var: 0.087; coh: 0.9962 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T17:36:20.050000Z (1473096980.050000) amp: 1.0132; ang:   0.000; lrms: 1.425; var: 0.078; coh: 0.9970 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T17:53:24.050000Z (1473098004.050000) amp: 1.0141; ang:   0.000; lrms: 1.466; var: 0.074; coh: 0.9973 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T18:10:28.050000Z (1473099028.050000) amp: 1.0095; ang:   0.000; lrms: 1.496; var: 0.070; coh: 0.9976 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T18:27:32.050000Z (1473100052.050000) amp: 1.0135; ang:   0.000; lrms: 1.399; var: 0.082; coh: 0.9966 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T18:44:36.050000Z (1473101076.050000) amp: 1.0166; ang:   0.000; lrms: 1.458; var: 0.071; coh: 0.9975 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T19:01:40.050000Z (1473102100.050000) amp: 1.0092; ang:   0.000; lrms: 1.505; var: 0.217; coh: 0.9764 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T19:18:44.050000Z (1473103124.050000) amp: 1.0104; ang:   0.000; lrms: 1.427; var: 0.081; coh: 0.9967 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T19:35:48.050000Z (1473104148.050000) amp: 1.0139; ang:   0.000; lrms: 1.414; var: 0.079; coh: 0.9968 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T19:52:52.050000Z (1473105172.050000) amp: 1.0142; ang:   0.000; lrms: 1.480; var: 0.075; coh: 0.9972 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T20:09:56.050000Z (1473106196.050000) amp: 1.0130; ang:   0.000; lrms: 1.410; var: 0.078; coh: 0.9969 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI Z: 2016-09-05T20:27:00.050000Z (1473107220.050000) amp: 1.0038; ang:   0.000; lrms: 1.440; var: 0.076; coh: 0.9971 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T13:20:20.050000Z (1473081620.050000) amp: 1.0515; ang:  97.258; lrms: 1.385; var: 0.117; coh: 0.9931 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T13:37:24.050000Z (1473082644.050000) amp: 1.0319; ang:  97.553; lrms: 1.342; var: 0.153; coh: 0.9882 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
